INN00001,2,0,1,2,Meal Plan 1,Room_Type 1,224,10/2/2017,Offline,65,Not_Canceled
INN00002,2,0,2,3,Not Selected,Room_Type 1,5,11/6/2018,Online,106.68,Not_Canceled
INN00003,1,0,2,1,Meal Plan 1,Room_Type 1,1,2/28/2018,Online,60,Canceled
INN00004,2,0,0,2,Meal Plan 1,Room_Type 1,211,5/20/2018,Online,100,Canceled
INN00005,2,0,1,1,Not Selected,Room_Type 1,48,4/11/2018,Online,94.5,Canceled
INN00006,2,0,0,2,Meal Plan 2,Room_Type 1,346,9/13/2018,Online,115,Canceled
INN00007,2,0,1,3,Meal Plan 1,Room_Type 1,34,10/15/2017,Online,107.55,Not_Canceled
INN00008,2,0,1,3,Meal Plan 1,Room_Type 4,83,12/26/2018,Online,105.61,Not_Canceled
INN00009,3,0,0,4,Meal Plan 1,Room_Type 1,121,7/6/2018,Offline,96.9,Not_Canceled
INN00010,2,0,0,5,Meal Plan 1,Room_Type 4,44,10/18/2018,Online,133.44,Not_Canceled
INN00011,1,0,1,0,Not Selected,Room_Type 1,0,9/11/2018,Online,85.03,Not_Canceled
INN00012,1,0,2,1,Meal Plan 1,Room_Type 4,35,4/30/2018,Online,140.4,Not_Canceled
INN00013,2,0,2,1,Not Selected,Room_Type 1,30,11/26/2018,Online,88,Canceled
INN00014,1,0,2,0,Meal Plan 1,Room_Type 1,95,11/20/2018,Online,90,Canceled
INN00015,2,0,0,2,Meal Plan 1,Room_Type 1,47,10/20/2017,Online,94.5,Not_Canceled
INN00016,2,0,0,2,Meal Plan 2,Room_Type 1,256,6/15/2018,Online,115,Canceled
INN00017,1,0,1,0,Meal Plan 1,Room_Type 1,0,10/5/2017,Offline,96,Not_Canceled
INN00018,2,0,1,3,Not Selected,Room_Type 1,1,8/10/2017,Online,96,Not_Canceled
INN00019,2,0,2,2,Meal Plan 1,Room_Type 1,99,10/30/2017,Online,65,Canceled
INN00020,2,0,1,0,Meal Plan 1,Room_Type 1,12,10/4/2017,Offline,72,Not_Canceled
INN00021,2,0,2,2,Meal Plan 1,Room_Type 1,99,10/30/2017,Online,65,Canceled
INN00022,1,0,0,1,Meal Plan 1,Room_Type 1,122,11/25/2018,Corporate,67,Not_Canceled
